gene	norm_1	norm_2	norm_3
CDR20291_0532	1356	1500	1481
CDR20291_0533	354	408	309
CDR20291_0534	386	388	416
CDR20291_0535	318	318	344
CDR20291_0536	39	45	41
CDR20291_0537	140	116	85
CDR20291_0538	6951	6866	5876
CDR20291_0539	1387	1422	1362
CDR20291_0540	216	254	187
CDR20291_0541	35	41	27
CDR20291_0542	28	21	31
CDR20291_0543	8	19	10
CDR20291_0544	2	3	0
CDR20291_0545	13	15	2
CDR20291_0546	301	346	308
CDR20291_0547	152	146	172
CDR20291_0548	14	6	11
CDR20291_0549	4706	4912	4849
CDR20291_0550	22796	22754	23350
CDR20291_0551	32710	31401	29227
CDR20291_0552	1306	1401	1343
CDR20291_0553	215	226	239
CDR20291_0554	270	286	289
CDR20291_0555	922	962	879
CDR20291_0556	391	368	384
CDR20291_0557	965	1104	1066
CDR20291_0558	672	682	678
CDR20291_0559	296	330	330
CDR20291_0560	126	146	130
CDR20291_0561	1507	1565	1627
CDR20291_0562	236	243	237
CDR20291_0563	428	389	383
CDR20291_0564	137	107	103
CDR20291_0565	573	641	583
CDR20291_0566	805	777	736
CDR20291_0567	993	1030	889
CDR20291_0568	636	674	601
CDR20291_0569	4289	4543	4826
CDR20291_0570	4798	5005	5032
CDR20291_0571	35	45	31
CDR20291_0572	139	128	141
CDR20291_0573	460	415	428
CDR20291_0574	327	341	296
CDR20291_0575	1119	972	1009
CDR20291_0576	564	586	592
CDR20291_0577	794	777	821
CDR20291_0578	494	468	473
CDR20291_0579	698	678	660
CDR20291_0580	722	716	774
CDR20291_0581	1	0	0
CDR20291_0582	2768	2627	2785
CDR20291_0583	159	135	172
CDR20291_0584	7341	7497	7119
CDR20291_0585	154	165	151
CDR20291_0586	165	196	173
CDR20291_0587	520	604	613
CDR20291_0588	25	23	12
CDR20291_0589	9	4	2
CDR20291_0590	11	14	19
CDR20291_0591	752	681	848
CDR20291_0592	1598	1663	1638
CDR20291_0593	86	89	81
CDR20291_0594	109	105	112
CDR20291_0595	9649	9852	9072
CDR20291_0596	858	911	726
CDR20291_0597	3	5	0
CDR20291_0598	287	366	273
CDR20291_0599	257	273	230
CDR20291_0600	80	76	61
CDR20291_0601	53	75	66
CDR20291_0602	77	81	62
CDR20291_0603	269	274	235
CDR20291_0604	293	289	315
CDR20291_0605	123	155	126
CDR20291_0606	72	92	75
CDR20291_0607	644	592	630
CDR20291_0608	853	945	858
CDR20291_0609	2646	2730	2538
CDR20291_0610	107	149	147
CDR20291_0611	6357	6248	4886
CDR20291_0612	4455	4268	3807
CDR20291_0613	14687	14644	13823
CDR20291_0614	466	418	684
CDR20291_0615	2490	2357	2917
