gene	norm_1	norm_2	norm_3
OG1RF_10279	2560	2406	2515
OG1RF_10280	0	8	3
OG1RF_10281	71566	72396	74301
OG1RF_10282	6377	5993	5845
OG1RF_10283	27753	27729	28177
OG1RF_10284	6653	6641	6740
OG1RF_10285	18495	18275	18322
OG1RF_10286	31765	30448	30645
OG1RF_10289	1685	1734	1740
OG1RF_10290	4476	4788	4880
OG1RF_10291	2545	2506	2281
OG1RF_10293	7805	7807	8059
OG1RF_10295	38	23	30
OG1RF_10299	9716	9467	9906
OG1RF_10300	361	358	347
OG1RF_10301	8746	8681	7613
OG1RF_10302	5793	5688	5027
OG1RF_10303	14207	14499	13007
OG1RF_10304	101	122	108
OG1RF_10305	1466	1388	1470
OG1RF_10306	9780	9889	10021
OG1RF_10308	2069	2208	2153
OG1RF_10309	3527	3759	3627
OG1RF_10311	470	516	417
OG1RF_10315	46	50	59
OG1RF_10316	27	20	26
OG1RF_10318	385	430	479
OG1RF_10323	215	238	217
OG1RF_10324	343	340	415
OG1RF_10325	65	72	66
OG1RF_10327	0	0	1
OG1RF_10328	968	1181	1117
OG1RF_10329	789	808	750
OG1RF_10336	3155	2877	2857
OG1RF_10337	73098	68835	69529
OG1RF_10339	731	757	731
OG1RF_10340	142	129	101
OG1RF_10341	122	130	109
OG1RF_10343	1939	2053	1888
OG1RF_10345	1325	1328	1304
OG1RF_10346	501	529	517
OG1RF_10347	9642	9554	9737
OG1RF_10350	30278	30948	31338
OG1RF_10352	3356	3365	3265
OG1RF_10353	4262	3937	3513
OG1RF_10354	14511	12696	12020
OG1RF_10361	116	112	108
OG1RF_10363	3055	3237	3358
OG1RF_10365	30	17	23
OG1RF_10367	47220	44814	46190
OG1RF_10368	21735	22410	22865
OG1RF_10370	20419	20289	20084
OG1RF_10371	541	532	565
OG1RF_10374	485	545	504
OG1RF_10375	998	946	937
OG1RF_10376	1427	1550	1461
OG1RF_10377	1011	1021	1184
OG1RF_10379	1532	1448	1434
OG1RF_10380	364	396	353
OG1RF_10382	7915	8043	8049
OG1RF_10383	136	109	145
OG1RF_10384	391	389	439
OG1RF_10385	1384	1589	1563
OG1RF_10386	655	628	633
OG1RF_10387	1111	1033	1000
OG1RF_10388	2753	3022	2935
OG1RF_10389	5602	5927	5656
OG1RF_10391	3143	3570	3268
OG1RF_10392	23879	24948	24248
OG1RF_10393	2679	2819	2830
OG1RF_10395	415	387	370
OG1RF_10396	1329	1209	1171
OG1RF_10398	6142	6279	6120
OG1RF_10400	49885	51704	51987
OG1RF_10403	960	1032	869
OG1RF_10408	14	10	7
OG1RF_10409	190	181	204
OG1RF_10410	744	774	818
OG1RF_10411	1608	1577	1549
OG1RF_10412	3061	3149	2984
OG1RF_10415	1399	1169	1130
OG1RF_10416	4322	4197	4153
OG1RF_10418	18738	18772	17557
OG1RF_10419	4	6	8
OG1RF_10420	7598	7651	7673
OG1RF_10421	23931	22787	24043
OG1RF_10424	3432	3449	3405
OG1RF_10426	11723	12013	12368
OG1RF_10427	18663	18566	19035
OG1RF_10430	864	943	913
OG1RF_10432	162	141	136
OG1RF_10433	50	39	51
OG1RF_10435	17411	17519	17240
OG1RF_10436	6924	6688	6834
OG1RF_10437	21831	22184	22715
OG1RF_10438	46379	44989	46620
OG1RF_10440	759	801	811
OG1RF_10441	2445	2381	2331
OG1RF_10442	7220	7211	7044
OG1RF_10443	2268	2207	2273
OG1RF_10445	6	1	4
OG1RF_10446	864	899	785
OG1RF_10449	245	270	258
OG1RF_10450	109	115	137
OG1RF_10451	492	459	477
OG1RF_10453	9760	10394	10559
OG1RF_10457	34355	34691	35324
OG1RF_10460	2124	1947	1852
OG1RF_10467	226	206	210
OG1RF_10468	1361	1364	1295
OG1RF_10470	91	139	112
OG1RF_10473	7437	7838	8022
OG1RF_10474	2751	3031	3162
OG1RF_10475	6293	6775	6849
OG1RF_10476	1273	1366	1327
OG1RF_10477	4916	5175	5147
OG1RF_10478	1540	1471	1464
OG1RF_10479	3474	3530	3638
OG1RF_10481	2564	2748	2813
OG1RF_10482	2126	2218	2402
OG1RF_10483	5106	5469	5461
OG1RF_10484	0	0	0
OG1RF_10485	1582	1658	1718
OG1RF_10486	1988	2012	2117
OG1RF_10487	2528	2549	2578
OG1RF_10488	8666	8856	9252
OG1RF_10489	3105	3265	3295
OG1RF_10490	1309	1469	1507
OG1RF_10491	512	590	626
OG1RF_10492	1584	1638	1712
OG1RF_10493	840	825	926
OG1RF_10494	457	512	517
OG1RF_10495	25689	24636	24475
OG1RF_10499	2936	2435	2746
OG1RF_10500	16420	16201	16138
OG1RF_10501	19835	19391	19536
OG1RF_10502	19534	19116	19394
OG1RF_10503	981	1005	891
OG1RF_10504	5744	5935	5479
OG1RF_10506	8781	8944	8930
OG1RF_10507	2669	2860	2701
OG1RF_10508	1562	1589	1514
OG1RF_10509	43	39	39
OG1RF_10510	725	763	823
OG1RF_10511	9672	9514	9520
OG1RF_10512	1457	1474	1515
OG1RF_10515	0	0	0
OG1RF_10516	24223	25495	25816
OG1RF_10518	15384	15129	14484
OG1RF_10519	12858	12508	12191
OG1RF_10520	3131	3013	2911
OG1RF_10521	11448	12158	11441
OG1RF_10522	17406	18264	17586
OG1RF_10523	130	151	164
OG1RF_10524	232	274	255
OG1RF_10525	11163	11539	11827
OG1RF_10526	610	562	576
OG1RF_10527	351	452	367
OG1RF_10528	10267	10301	10463
OG1RF_10529	21617	21413	22190
OG1RF_10530	7246	7647	8061
OG1RF_10531	11566	11441	10463
OG1RF_10532	6479	6445	6089
OG1RF_10535	740	788	772
OG1RF_10536	1581	1713	1793
OG1RF_10538	1112	1045	965
OG1RF_10539	732	665	592
OG1RF_10540	5955	6004	6351
OG1RF_10541	1277	1229	1029
OG1RF_10542	1390	1582	1475
OG1RF_10543	681	776	788
OG1RF_10544	1650	1611	1555
OG1RF_10546	3614	3670	3597
OG1RF_10548	400	385	303
OG1RF_10549	541	421	377
OG1RF_10550	316	317	329
OG1RF_10551	1057	1060	1151
OG1RF_10555	1965	1918	1938
OG1RF_10557	427	550	450
OG1RF_10559	1005	886	866
OG1RF_10560	65	68	73
OG1RF_10561	138	117	133
OG1RF_10562	80	62	91
OG1RF_10563	191	155	166
OG1RF_10564	166	136	124
OG1RF_10565	444	482	518
OG1RF_10566	28	58	48
OG1RF_10567	439	411	475
OG1RF_10568	752	876	776
OG1RF_10569	564	584	576
OG1RF_10570	552	459	483
OG1RF_10571	1240	1355	1436
OG1RF_10572	13399	13423	13755
OG1RF_10573	5656	5964	5748
OG1RF_10577	0	0	0
OG1RF_10580	5540	5466	5520
OG1RF_10581	82	116	105
OG1RF_10582	203	278	260
OG1RF_10583	49	48	55
OG1RF_10584	239	231	215
OG1RF_10585	6835	6778	7266
OG1RF_10587	6735	6704	6545
OG1RF_10589	2119	2309	2338
OG1RF_10590	29802	29203	29002
OG1RF_10591	1299	1286	1262
OG1RF_10596	59	57	42
OG1RF_10599	3543	3393	3371
OG1RF_10600	26004	25089	25877
OG1RF_10601	30650	34191	34006
OG1RF_10602	255	306	326
OG1RF_10604	498	540	556
OG1RF_10605	10406	9789	9689
OG1RF_10612	6120	6096	6614
OG1RF_10613	7078	6923	7284
OG1RF_10614	2891	2921	2865
OG1RF_10615	1894	1931	1920
OG1RF_10616	4595	4701	4555
OG1RF_10617	2495	2330	2438
