gene	norm_1	norm_2	norm_3
CDR20291_0737	2096	2263	2289
CDR20291_0738	6246	6231	6135
CDR20291_0739	105	66	97
CDR20291_0740	4604	5068	4141
CDR20291_0742	21426	22100	22029
CDR20291_0743	15396	14753	14818
CDR20291_0744	5502	5218	5373
CDR20291_0745	6698	6739	7010
CDR20291_0746	1445	1435	1669
CDR20291_0747	2750	3065	3219
CDR20291_0748	4643	4863	5044
CDR20291_0749	5358	5213	6064
CDR20291_0750	10694	11273	11769
CDR20291_0751	13927	14568	14787
CDR20291_0752	2399	2520	2910
CDR20291_0753	2199	2176	2589
CDR20291_0754	3821	4160	4394
CDR20291_0756	7101	7237	7945
CDR20291_0758	7645	8221	8814
CDR20291_0759	1186	1139	1275
CDR20291_0760	49564	49238	50881
CDR20291_0761	4770	4729	4570
CDR20291_0762	2466	2490	2320
CDR20291_0763	6772	7165	6684
CDR20291_0764	3381	3640	3496
CDR20291_0765	4774	5403	4599
CDR20291_0766	4961	5535	5117
CDR20291_0767	8451	8804	8653
CDR20291_0768	3934	4118	4214
CDR20291_0769	4942	4628	5060
CDR20291_0770	6561	6579	6576
CDR20291_0771	23006	23136	23122
CDR20291_0772	1925	1750	1936
CDR20291_0773	5384	5431	5712
CDR20291_0774	48140	45124	47188
CDR20291_0775	111	123	148
CDR20291_0776	4410	4697	4957
CDR20291_0777	461	395	368
CDR20291_0778	1059	1154	995
CDR20291_0780	1216	1280	1159
CDR20291_0781	2460	2589	3095
CDR20291_0782	2501	2395	2936
CDR20291_0788	0	0	0
CDR20291_0789	10	23	11
CDR20291_0790	32	10	18
CDR20291_0791	129	165	169
CDR20291_0792	249	259	292
CDR20291_0793	2006	1910	1937
CDR20291_0794	4503	4698	4271
CDR20291_0795	5465	5698	5729
CDR20291_0796	171	171	193
CDR20291_0797	8708	8405	8976
CDR20291_0802	132058	132174	127606
CDR20291_0803	54283	52744	51087
CDR20291_0804	55735	54452	51954
CDR20291_0805	5049	5191	5272
CDR20291_0806	2013	1956	1994
CDR20291_0807	1508	1433	1497
CDR20291_0808	8809	9102	9042
CDR20291_0810	4444	4373	4559
CDR20291_0811	20294	20736	20937
CDR20291_0816	8239	8033	8059
CDR20291_0817	9359	9384	9519
CDR20291_0823	58956	62080	64592
CDR20291_0824	22541	24657	22086
CDR20291_0825	0	0	0
CDR20291_0825_0	0	0	0
CDR20291_0827	2209	2203	2060
CDR20291_0828	38900	37096	38392
CDR20291_0832	159	152	199
CDR20291_0833	2371	2217	2343
CDR20291_0834	5204	4969	5190
CDR20291_0835	3206	3044	3423
CDR20291_0836	3215	2911	3244
CDR20291_0837	6213	6398	6230
CDR20291_0838	8278	8432	8831
CDR20291_0839	51512	49455	51280
CDR20291_0840	3775	4004	3945
CDR20291_0841	622	506	636
CDR20291_0846	5949	6090	6064
CDR20291_0847	17409	17404	16101
CDR20291_0849	10713	10410	9192
CDR20291_0850	9495	9861	8913
CDR20291_0851	14078	14306	13708
CDR20291_0852	8071	8111	8029
CDR20291_0853	514	508	507
CDR20291_0854	553	564	519
CDR20291_0855	775	881	756
CDR20291_0858	7543	7551	7614
CDR20291_0859	520	525	486
CDR20291_0860	812	711	773
CDR20291_0861	1650	1499	1565
CDR20291_0862	1373	1495	1481
CDR20291_0863	8376	8574	8403
CDR20291_0864	5139	4960	5504
CDR20291_0865	5590	5908	6066
CDR20291_0868	467	389	451
CDR20291_0869	635	615	585
CDR20291_0870	1293	1353	1213
CDR20291_0871	10517	9623	10726
CDR20291_0872	1671	1620	1695
CDR20291_0873	1932	1973	1864
CDR20291_0874	3000	2883	2822
CDR20291_0875	32	22	10
CDR20291_0876	73	52	61
CDR20291_0877	498	452	456
CDR20291_0878	2117	2026	2081
CDR20291_0879	4052	3649	3042
CDR20291_0884	59	64	39
CDR20291_0885	2107	2121	2113
CDR20291_0886	1778	1883	1608
CDR20291_0887	2417	2381	2039
CDR20291_0888	944	984	923
CDR20291_0890	445	435	478
CDR20291_0891	47519	48194	44912
CDR20291_0892	21972	22588	21409
CDR20291_0893	3076	2983	2330
CDR20291_0894	4140	4213	2566
CDR20291_0895	1253	1262	741
CDR20291_0900	16912	16368	17054
CDR20291_0901	873	883	955
