reaction	linear_coefficient
EX_cpd00104_e	0.9852941176470589
EX_cpd00007_e	0.9852941176470589
EX_cpd00092_e	0.9852941176470589
EX_cpd00208_e	0.9852941176470589
EX_cpd00158_e	0.9852941176470589
EX_cpd00011_e	0.9852941176470589
EX_cpd00063_e	0.9852941176470589
EX_cpd01080_e	0.9852941176470589
EX_cpd00156_e	0.9852941176470589
EX_cpd00039_e	0.9852941176470589
EX_cpd00393_e	0.9852941176470589
EX_cpd00264_e	0.9852941176470589
EX_cpd00322_e	0.9852941176470589
EX_cpd00030_e	0.9852941176470589
EX_cpd00516_e	0.9852941176470589
rxn05669_c	1.0
rxn05244_c	1.0
EX_cpd00084_e	0.9852941176470589
rxn05237_c	1.0
EX_cpd00644_e	0.9852941176470589
R03018_c	1.0
EX_cpd00263_e	0.9852941176470589
COG3601_c	1.0
rxn05255_c	1.0
rxn00799_c	1.0
rxn08168_c	1.0
rxn27328_c	1.0
EX_cpd00232_e	0.9852941176470589
rxn29571_c	1.0
EX_cpd00492_e	0.9852941176470589
rxn05486_c	1.0
rxn01484_c	1.0
EX_cpd00751_e	0.9852941176470589
rxn02262_c	1.0
rxn01620_c	1.0
rxn04937_c	1.0
EX_cpd05161_e	0.9852941176470589
rxn12619_c	1.0
rxn18524_c	1.0
ID010_c	0.9852941176470589
EX_cpd00107_e	0.9852941176470589
rxn05243_c	1.0
EX_cpd00069_e	0.9852941176470589
rxn18579_c	0.9852941176470589
EX_cpd00066_e	0.9852941176470589
rxn18584_c	1.0
EX_cpd00129_e	0.9852941176470589
rxn05165_c	1.0
EX_cpd00567_e	0.9852941176470589
ENOG4108HXH_c	1.0
EX_cpd29317_e	0.9852941176470589
rxn05165_2_c	0.9852941176470589
EX_cpd00033_e	0.9852941176470589
rxn10862_c	1.0
rxn32054_c	0.9852941176470589
rxn05164_c	1.0
EX_cpd00119_e	0.9852941176470589
rxn10144_c	1.0
EX_cpd00132_e	0.9852941176470589
rxn10883_c	1.0
EX_cpd00054_e	0.9852941176470589
rxn05169_c	1.0
EX_cpd00161_e	0.9852941176470589
rxn05155_c	1.0
EX_cpd00053_e	0.9852941176470589
rxn05151_c	1.0
rxn34357_c	0.9852941176470589
EX_cpd00041_e	0.9852941176470589
rxn14152_c	1.0
rxn00804_c	0.9852941176470589
R01174_1_c	1.0
ID001_c	0.9852941176470589
EX_cpd05178_e	0.9852941176470589
R01214_c	1.0
rxn10618_c	1.0
R01174_2_c	1.0
ID002_c	0.9852941176470589
EX_cpd01711_e	0.9852941176470589
rxn01575_c	1.0
R01174_3_c	1.0
ID003_c	0.9852941176470589
EX_cpd19585_e	0.9852941176470589
rxn10563_c	1.0
R01174_4_c	1.0
EX_cpd00489_e	0.9852941176470589
rxn05061_c	1.0
rxn29230_c	0.9852941176470589
EX_cpd01042_e	0.9852941176470589
rxn21134_c	1.0
rxn10562_c	1.0
R01174_5_c	1.0
rxn11336_c	0.9852941176470589
EX_cpd00430_e	0.9852941176470589
rxn20606_c	1.0
rxn12566_c	0.9852941176470589
EX_cpd00339_e	0.9852941176470589
rxn11676_c	1.0
rxn13022_c	1.0
K20025_c	1.0
R11076_c	1.0
ID006_c	0.9852941176470589
EX_C21399_e	0.9852941176470589
R06782_c	1.0
rxn01610_c	1.0
EX_cpd03343_e	0.9852941176470589
EX_cpd00036_e	0.9852941176470589
EX_cpd00211_e	0.9852941176470589
rxn09271_c	0.9852941176470589
rxn25164_c	1.0
rxn16140_c	1.0
rxn02167_c	1.0
rxn16586_c	1.0
rxn13713_c	1.0
rxn00871_c	1.0
rxn08184_c	0.9852941176470589
EX_cpd00029_e	0.9852941176470589
rxn08061_c	0.9852941176470589
rxn30338_c	1.0
EX_cpd00159_e	0.9852941176470589
EX_cpd00221_e	0.9852941176470589
rxn05602_c	0.9852941176470589
rxn10171_c	0.9852941176470589
rxn00602_c	1.0
rxn00669_c	1.0
rxn09172_c	0.9852941176470589
EX_cpd00141_e	0.9852941176470589
rxn03141_c	1.0
peptidoglycan_rxn	1.0
cellwall_rxn	0.9852941176470589
lipid_rxn	0.9852941176470589
cofactor_rxn	0.9852941176470589
biomass	0.9852941176470589
SK_cpd11416_c	0.9852941176470589
rxn08686_c	0.9852941176470589
rxn09031_c	0.9852941176470589
rxn05467_c	0.9852941176470589
rxn08186_c	0.9852941176470589
rxn08952_c	0.9852941176470589
rxn10161_c	0.9852941176470589
rxn05175_c	0.9852941176470589
rxn08304_c	0.9852941176470589
EX_cpd00013_e	0.9852941176470589
rxn05466_c	0.9852941176470589
EX_cpd00242_e	0.9852941176470589
rxn10826_c	0.9852941176470589
rxn30210_c	1.0
EX_cpd00133_e	0.9852941176470589
rxn11334_c	1.0
EX_cpd00443_e	0.9852941176470589
rxn10421_c	1.0
rxn01182_c	0.9852941176470589
rxn02269_c	0.9852941176470589
rxn09142_c	0.9852941176470589
rxn00530_c	0.9852941176470589
rxn09145_c	0.9852941176470589
rxn13139_c	0.9852941176470589
rxn03167_c	1.0
rxn00341_c	0.9852941176470589
rxn00620_c	0.9852941176470589
rxn01105_c	0.9852941176470589
rxn02476_c	0.9852941176470589
rxn00777_c	0.9852941176470589
rxn01014_c	0.9852941176470589
rxn01359_c	0.9852941176470589
rxn00970_c	0.9852941176470589
rxn05227_c	0.9852941176470589
rxn05293_c	0.9852941176470589
rxn12676_c	0.9852941176470589
rxn09341_c	0.9852941176470589
rxn13914_c	0.9852941176470589
rxn09147_c	0.9852941176470589
rxn10030_c	0.9852941176470589
rxn13012_c	0.9852941176470589
rxn12239_c	0.9852941176470589
rxn09119_c	0.9852941176470589
rxn02928_c	0.9852941176470589
rxn01953_c	0.9852941176470589
