reaction	linear_coefficient
rxn10277_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00555_c	[0.0028738223405381457, 0.003268047188806224, 0.002769217796584184]
rxn03282_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn03080_c	[0.12855748232775688, 0.14238445046011738, 0.1410288841872873]
rxn01044_c	[0.0014898396854085886, 0.0018257816691520418, 0.001627035231349462]
rxn00143_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00147_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01505_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00737_c	[0.004073535350367167, 0.0044002358216323504, 0.003591359273909177]
rxn08843_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn04723_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn00213_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01740_c	[0.05374988728186591, 0.05006517734561945, 0.07402531199215037]
rxn02762_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05655_c	[0.001646664915451598, 0.00172378269322176, 0.0015292981326464907]
rxn02314_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn04043_c	[0.17450335409960754, 0.17362061684900684, 0.16852558795572317]
rxn00139_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn07261_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00790_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10285_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03910_c	[0.005152688964600625, 0.0055242645363840544, 0.004975009965351241]
rxn00422_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn07100_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03540_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08311_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03175_c	[0.10750369519448288, 0.10917154391769907, 0.11004047465734523]
rxn10264_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03421_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn01023_c	[0.11303962581500111, 0.11223355317512612, 0.11021295189035048]
rxn04712_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05371_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn04794_c	[0.00013722207628763316, 0.00016115838196984503, 0.00014181461380431115]
rxn07584_c	[0.0313670063239774, 0.03536916489358447, 0.025802594057584397]
rxn01717_c	[0.04777484601722725, 0.05006517734561945, 0.06230452580259406]
rxn00182_c	[0.002183791328348905, 0.00233577654880345, 0.0019854045932603563]
rxn01119_c	[0.004912550331097267, 0.005371266072488632, 0.004608974948640113]
rxn00532_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn05172_c	[0.00222887858198627, 0.0023786161186941683, 0.002428096157973814]
rxn00132_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn07622_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02819_c	[0.08074735063376996, 0.061452343018476095, 0.06219145739429062]
rxn01479_c	[0.030410372420715044, 0.03440833454032122, 0.030285085702020667]
rxn08615_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08815_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00126_c	[0.002356299081396215, 0.0024663352379942103, 0.002428096157973814]
rxn06905_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02584_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08306_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08821_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn01871_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn00405_c	[0.06506090699871796, 0.07419405509168688, 0.09357081531904456]
rxn14301_c	[0.004892947177341891, 0.005322306564042097, 0.004608974948640113]
rxn00299_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn01132_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn04737_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn05735_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03921_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn02484_c	[0.14267959429312987, 0.13307602391671988, 0.11729026768466562]
rxn05671_c	[0.11303962581500111, 0.11223355317512612, 0.11021295189035048]
rxn03618_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn01133_c	[0.028548072813954307, 0.0055242645363840544, 0.004975009965351241]
rxn10321_c	[0.003020845993703467, 0.003535284505743562, 0.003087342470793855]
rxn01000_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00363_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn01281_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn01670_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn03642_c	[0.004422471487212863, 0.004441035412004464, 0.004442246956735044]
rxn02522_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05183_c	[0.005249724575689737, 0.005371266072488632, 0.004975009965351241]
rxn01300_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03886_c	[0.22610081509913316, 0.17362061684900684, 0.16852558795572317]
rxn00786_c	[0.00034893613684569574, 0.0003569964157559858, 0.000377533498911477]
rxn14054_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn03908_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01100_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00838_c	[0.0023719816044005157, 0.0024663352379942103, 0.0025909913224787663]
rxn02283_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05396_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn00831_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn03721_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00748_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01255_c	[0.030410372420715044, 0.005371266072488632, 0.03439004384754546]
rxn05872_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn04727_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn00776_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05485_c	[0.001646664915451598, 0.00172378269322176, 0.0015292981326464907]
rxn14089_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn00214_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10114_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn01211_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn05496_c	[0.004073535350367167, 0.005371266072488632, 0.004476742403336093]
rxn00109_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00527_c	[0.030410372420715044, 0.03536916489358447, 0.025310075736669425]
rxn01215_c	[0.0025307671498190627, 0.002517334725959351, 0.002769217796584184]
rxn03537_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10279_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn04270_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn01654_c	[0.04717498951231274, 0.04607497740722683, 0.04031751142182565]
rxn10276_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn11838_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn01917_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
